symbol,day,ts_us,trade_count,trade_volume,buy_volume,sell_volume,buy_sell_imbalance,volume_delta,aggr_buy_intensity,trade_size_mean,trade_size_std,ret_60s,ret_300s,ret_900s,realized_vol_300s,momentum_900_300s,acceleration_300s,volume_intensity_60s,trade_size_z_60s,label_gross_60s,label_valid_60s,label_gross_300s,label_valid_300s,label_gross_900s,label_valid_900s,label_gross_1800s,label_valid_1800s,vol_regime,direction_regime
BTCUSDT,2026-07-25,1784937600000000,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,False,,False,,False,,False,low,trend_up
BTCUSDT,2026-07-25,1784937660000000,494.0,68.7430000000001,31.313000000000024,37.42999999999999,-0.08898360560347915,-6.116999999999969,0.45550819719826036,0.13915587044534433,0.4213344852662736,,,,,,,,,5467.820035315177,True,20831.192767596207,True,40433.53559444733,True,67905.77066631748,True,low,trend_up
BTCUSDT,2026-07-25,1784937720000000,494.0,89.18300000000023,48.884000000000036,40.29900000000002,0.09626274065685175,8.585000000000015,0.548131370328426,0.1805323886639681,0.9717520228318806,5467.820035315177,,,,,,,,3508.70416061556,True,17964.526560603306,True,36581.7026087708,True,64264.26491481255,True,low,trend_up
BTCUSDT,2026-07-25,1784937780000000,317.0,32.438000000000386,2.6250000000000853,29.812999999999988,-0.8381527837721142,-27.187999999999903,0.08092360811394289,0.10232807570978039,0.2572767182378445,3508.70416061556,,,,,,,,7692.791246846778,True,16160.399693251498,True,34766.463717420265,True,63057.84981083533,True,low,trend_up
BTCUSDT,2026-07-25,1784937840000000,695.0,142.8429999999986,110.71300000000011,32.12999999999994,0.5501354634108787,78.58300000000017,0.7750677317054393,0.20552949640287568,0.8716506246476269,7692.791246846778,,,1239634.0028000572,,,,,2291.2469670196333,True,10803.081148580757,True,28844.61416106305,True,56992.167187414656,True,low,trend_up
BTCUSDT,2026-07-25,1784937900000000,207.0,20.130999999999176,12.251999999999981,7.879000000000076,0.21722716208831616,4.372999999999905,0.6086135810441581,0.09725120772946462,0.36035297513056563,2291.2469670196333,,,1484563.0393735366,,,,,1870.6303577990584,True,10548.425392815388,True,28888.79105843396,True,56117.724233525514,True,low,trend_up
BTCUSDT,2026-07-25,1784937960000000,169.0,11.108999999999583,5.9290000000000305,5.180000000000149,0.0674228103339517,0.7489999999998815,0.5337114051669759,0.06573372781064842,0.25887463662289195,1870.6303577990584,20831.192767596207,,1567185.4293877275,,,,,2601.1538283222762,True,10360.190129969575,True,29840.622187062072,True,56770.745426908994,True,low,trend_up
BTCUSDT,2026-07-25,1784938020000000,235.0,29.088999999998578,11.133000000000123,17.956000000000444,-0.23455601773867052,-6.82300000000032,0.38272199113066474,0.1237829787233982,0.7653045869587937,2601.1538283222762,17964.526560603306,,1537088.4246648129,,-2866.6662069929007,,,1704.577293263752,True,9474.636585174907,True,28667.30983225446,True,55564.225874807715,True,low,trend_up
BTCUSDT,2026-07-25,1784938080000000,154.0,8.252999999998622,4.23100000000008,4.0220000000001335,0.025324124560758627,0.20899999999994634,0.5126620622803794,0.05359090909090014,0.19461994515998032,1704.577293263752,16160.399693251498,,1633557.3176192674,,-1804.126867351808,,,2335.4727021760373,True,10714.272768590588,True,29685.61468404922,True,55730.23367574408,True,low,trend_up
BTCUSDT,2026-07-25,1784938140000000,211.0,7.763999999998134,0.8510000000000559,6.913000000000039,-0.7807831014940635,-6.061999999999983,0.10960844925296825,0.03679620853079685,0.1855586704416065,2335.4727021760373,10803.081148580757,,236957.69914749195,,-5357.318544670741,,,2036.5912112542646,True,9729.155511406912,True,28910.83386001335,True,54457.34723894881,True,low,trend_up
BTCUSDT,2026-07-25,1784938200000000,184.0,23.01299999999958,9.140000000000015,13.872999999999763,-0.20566636249075715,-4.732999999999748,0.39716681875462145,0.12507065217391075,0.6487535256609406,2036.5912112542646,10548.425392815388,,233682.83633198374,,-254.65575576536867,,,1682.3950949532446,True,9452.450009666194,True,28268.903464222938,True,53804.338161865846,True,low,trend_up
BTCUSDT,2026-07-25,1784938260000000,152.0,12.860000000000468,1.5049999999999955,11.354999999999393,-0.7659409020217625,-9.849999999999397,0.11702954898911874,0.08460526315789782,0.4785821105394595,1682.3950949532446,10360.190129969575,,258952.52842491528,,-188.23526284581385,,,1715.6002835276086,True,9242.152696881545,True,28113.994020217833,True,54479.552000236756,True,low,trend_up
BTCUSDT,2026-07-25,1784938320000000,155.0,9.021999999999537,4.810000000000059,4.211999999999705,0.06628242074932053,0.5980000000003542,0.5331412103746602,0.05820645161290024,0.21115688439697647,1715.6002835276086,9474.636585174907,,185667.67854859727,,-885.5535447946677,,,2944.2134766794334,True,9142.539462992587,True,27870.53571463227,True,54955.5047639059,True,low,trend_up
BTCUSDT,2026-07-25,1784938380000000,266.0,76.40199999999828,48.79999999999944,27.60199999999938,0.2774534698044605,21.198000000000064,0.6387267349022302,0.287225563909768,1.7870642125766745,2944.2134766794334,10714.272768590588,,337857.855994645,,1239.6361834156814,,,1350.3554449923613,True,7891.79125557818,True,26188.158214813688,True,57988.164864744314,True,low,trend_up
BTCUSDT,2026-07-25,1784938440000000,122.0,16.553999999998723,10.365999999999701,6.187999999999988,0.2523861302404127,4.177999999999713,0.6261930651202063,0.13568852459015346,0.5902450966183984,1350.3554449923613,9729.155511406912,,394834.9353505643,,-985.117257183676,,,1759.8857095135463,True,8312.377501075382,True,26619.873367378095,True,63710.30043623103,True,low,trend_up
BTCUSDT,2026-07-25,1784938500000000,159.0,60.37799999999936,41.685999999999865,18.69199999999961,0.380834078637922,22.994000000000256,0.690417039318961,0.37973584905659974,1.7177244899731454,1759.8857095135463,9452.450009666194,,396300.86928301194,,-276.7055017407183,,,1472.0977821685956,True,8887.915655952376,True,26808.08720681713,True,68458.32260927383,True,low,trend_up
BTCUSDT,2026-07-25,1784938560000000,133.0,6.386999999999034,2.1289999999998486,4.25799999999964,-0.3333333333333274,-2.1289999999997917,0.3333333333333363,0.04802255639097018,0.16356346493957336,1472.0977821685956,9242.152696881545,40433.53559444733,412289.7658752138,31191.38289756578,-210.29731278464897,,,1615.9870496386502,True,10238.279360210952,True,27472.23507187015,True,73228.43466733702,True,low,trend_up
BTCUSDT,2026-07-25,1784938620000000,146.0,4.820999999998435,2.8799999999997112,1.9409999999998035,0.1947728686994404,0.9389999999999077,0.5973864343497202,0.03302054794519476,0.1072248343067491,1615.9870496386502,9142.539462992587,36581.7026087708,416655.2745590964,27439.163145778213,-99.61323388895835,,,1693.465269265027,True,10050.133784086967,True,27682.56230604175,True,76083.81689292289,True,low,trend_up
BTCUSDT,2026-07-25,1784938680000000,153.0,13.358999999998673,0.8229999999998086,12.535999999999717,-0.8767871846695354,-11.712999999999909,0.06160640766523226,0.0873137254901874,0.5217906979888947,1693.465269265027,7891.79125557818,34766.463717420265,108005.5420346933,26874.672461842085,-1250.7482074144064,,,1770.9416904895625,True,11079.55065988045,True,28291.386093415065,True,76404.69754873248,True,low,trend_up
BTCUSDT,2026-07-25,1784938740000000,160.0,7.735999999997489,2.9799999999998477,4.7559999999990055,-0.22957600827293448,-1.7759999999991578,0.3852119958635328,0.04834999999998431,0.17150584272275668,1770.9416904895625,8312.377501075382,28844.61416106305,79853.74940691875,20532.23665998767,420.58624549720116,,,2335.423864390541,True,10869.300847531056,True,28147.553026351605,True,76581.69122254019,True,low,trend_up
BTCUSDT,2026-07-25,1784938800000000,211.0,15.714999999997076,1.4959999999997535,14.218999999999141,-0.8096086541521019,-12.722999999999388,0.09519567292394901,0.07447867298576813,0.28896060576800287,2335.423864390541,8887.915655952376,28888.79105843396,214585.25144454348,20000.875402481583,575.5381548769947,,,2822.4614864271716,True,9928.537798604368,True,27228.93317509155,True,75596.5339148918,True,low,trend_up
BTCUSDT,2026-07-25,1784938860000000,255.0,78.28199999999731,75.01699999999943,3.264999999999759,0.9165836335300633,71.75199999999967,0.9582918167650316,0.3069882352941071,2.3620270846626816,2822.4614864271716,10238.279360210952,29840.622187062072,335726.94438417646,19602.34282685112,1350.363704258576,,,1427.8414735146653,True,8633.561963125336,True,26930.123239846922,True,74655.58545770141,True,low,trend_up
BTCUSDT,2026-07-25,1784938920000000,129.0,5.654999999999177,3.903999999999826,1.7509999999995784,0.3807250221044163,2.1530000000002474,0.6903625110522081,0.0438372093023192,0.1479759688420316,1427.8414735146653,10050.133784086967,28667.30983225446,364387.4077238102,18617.176048167494,-188.14557612398494,,,2722.882145058509,True,8677.862467552717,True,26896.916042553254,True,74755.08905868189,True,low,trend_up
BTCUSDT,2026-07-25,1784938980000000,246.0,79.97999999999672,76.3129999999993,3.666999999998552,0.9083020755189135,72.64600000000075,0.9541510377594568,0.3251219512194989,3.701155526314096,2722.882145058509,11079.55065988045,29685.61468404922,391659.36353846383,18606.06402416877,1029.4168757934822,,,1560.6918781401691,True,7216.816299355058,True,26044.618991694857,True,73515.28112605296,True,low,trend_up
BTCUSDT,2026-07-25,1784939040000000,141.0,8.246999999999957,5.299999999999386,2.9469999999990364,0.28531587243855944,2.3530000000003497,0.6426579362192797,0.05848936170212736,0.25616600691815244,1560.6918781401691,10869.300847531056,28910.83386001335,420475.257384664,18041.533012482294,-210.24981234939332,,,1394.6608154638525,True,7438.1950187716575,True,25546.51337893546,True,73636.88236383,True,low,trend_up
BTCUSDT,2026-07-25,1784939100000000,126.0,2.6339999999975134,1.6429999999995744,0.9909999999993033,0.24753227031152195,0.652000000000271,0.623766135155761,0.02090476190474217,0.047119835073428575,1394.6608154638525,9928.537798604368,28268.903464222938,468296.27940973744,18340.36566561857,-940.7630489266885,,,1527.4856509481397,True,7991.633752260386,True,25535.434697642908,True,74024.12412929405,True,low,trend_up
BTCUSDT,2026-07-25,1784939160000000,138.0,5.343999999999937,1.584999999999809,3.7590000000001282,-0.4068113772455735,-2.1740000000003192,0.29659431137721326,0.03872463768115897,0.18931820693290521,1527.4856509481397,8633.561963125336,28113.994020217833,363946.08406302467,19480.432057092497,-1294.975835479032,,,1472.1419779420467,True,8600.393748533861,True,26365.557980018923,True,74433.48909445264,True,low,trend_up
BTCUSDT,2026-07-25,1784939220000000,133.0,7.594000000000733,1.51199999999983,6.0820000000000505,-0.6017908875428355,-4.5700000000002206,0.19910455622858228,0.05709774436090777,0.4089264560216002,1472.1419779420467,8677.862467552717,27870.53571463227,360328.17601963127,19192.673247079554,44.300504427381384,,,1261.8359768608498,True,8954.566054402065,True,27084.969049273626,True,89086.21043286756,True,low,trend_up
BTCUSDT,2026-07-25,1784939280000000,114.0,7.893000000001393,5.11899999999946,2.773999999999319,0.29709869504630737,2.345000000000141,0.6485493475231536,0.06923684210527538,0.26631109304135137,1261.8359768608498,7216.816299355058,26188.158214813688,77430.00233806712,18971.34191545863,-1461.0461681976594,,,1782.070597556769,True,9995.019134179558,True,31800.006649930627,True,89705.83474371294,True,low,trend_up
BTCUSDT,2026-07-25,1784939340000000,161.0,13.033000000001152,9.640999999999508,3.3919999999991433,0.4794751783933869,6.249000000000365,0.7397375891966934,0.08095031055901337,0.39894231727878243,1782.070597556769,7438.1950187716575,26619.873367378095,124836.59960109365,19181.678348606438,221.37871941659978,,,1948.0995489525812,True,9840.057160048891,True,37090.427068852936,True,89926.96598691418,True,low,trend_up
BTCUSDT,2026-07-25,1784939400000000,176.0,27.74300000000153,11.000000000000114,16.742999999998972,-0.20700717298053734,-5.742999999998858,0.3964964135097313,0.1576306818181905,0.6843269101589703,1948.0995489525812,7991.633752260386,26808.08720681713,174740.01390467197,18816.453454556744,553.4387334887288,,,2136.2456472216145,True,9308.761624226798,True,41650.2354024567,True,90258.75358653838,True,low,trend_up
BTCUSDT,2026-07-25,1784939460000000,193.0,15.464000000000624,9.023000000000025,6.440999999999747,0.166968442834992,2.582000000000278,0.583484221417496,0.08012435233160944,0.3131234033190491,2136.2456472216145,8600.393748533861,27472.23507187015,229450.6278266231,18871.841323336288,608.7599962734748,,,1826.3142838102503,True,9696.167528187725,True,45756.19959546687,True,95416.13237242968,True,low,trend_up
BTCUSDT,2026-07-25,1784939520000000,165.0,8.917999999999552,3.8489999999993643,5.069000000000472,-0.1368019735367941,-1.2200000000011073,0.43159901323160293,0.05404848484848213,0.10810111606044019,1826.3142838102503,8954.566054402065,27682.56230604175,211493.1223613385,18727.996251639684,354.1723058682037,,,2302.289056638343,True,9264.487520598472,True,48401.25458688113,True,96246.20572728767,True,low,trend_up
BTCUSDT,2026-07-25,1784939580000000,208.0,12.526000000000977,9.79099999999869,2.7349999999993315,0.5633083186971477,7.055999999999358,0.7816541593485739,0.060221153846158545,0.23768366736930815,2302.289056638343,9995.019134179558,28291.386093415065,141481.47040596217,18296.366959235507,1040.4530797774933,,,1627.108623426102,True,8832.783558160241,True,48113.31145531741,True,99101.8693941139,True,low,trend_up
BTCUSDT,2026-07-25,1784939640000000,147.0,23.787000000001626,21.729999999999563,2.05699999999905,0.8270483877749047,19.673000000000513,0.9135241938874524,0.1618163265306233,1.4413199193338464,1627.108623426102,9840.057160048891,28147.553026351605,170616.9916249989,18307.495866302714,-154.96197413066693,,,1416.8040131304879,True,8268.26120011491,True,48434.13819618858,True,99245.72389566814,True,low,trend_up
BTCUSDT,2026-07-25,1784939700000000,128.0,20.85100000000125,16.952999999999406,3.897999999999172,0.6261090595175831,13.055000000000234,0.8130545297587916,0.16289843750000976,0.9301621638300127,1416.8040131304879,9308.761624226798,27228.93317509155,234713.19305259647,17920.171550864754,-531.2955358220934,,,2523.651551182542,True,8235.039321155724,True,48367.60073980024,True,100684.56587386515,True,low,trend_up
BTCUSDT,2026-07-25,1784939760000000,228.0,17.14199999999846,2.3649999999997817,14.776999999999134,-0.7240695368101818,-12.411999999999352,0.13796523159490906,0.07518421052630904,0.33058377321808413,2523.651551182542,9696.167528187725,26930.123239846922,300154.3613659356,17233.955711659197,387.4059039609274,,,1394.634276220997,True,8068.996703297336,True,47725.46221785448,True,100396.67686676227,True,low,trend_up
BTCUSDT,2026-07-25,1784939820000000,126.0,7.158000000001607,4.029999999999973,3.12799999999919,0.1260128527522895,0.9020000000007826,0.5630064263761447,0.05680952380953656,0.34664244897041985,1394.634276220997,9264.487520598472,26896.916042553254,340631.21752990375,17632.428521954782,-431.68000758925336,,,1870.5850942001125,True,8865.91547427309,True,47858.173016128625,True,100717.59609738804,True,low,trend_up
BTCUSDT,2026-07-25,1784939880000000,169.0,9.195999999998548,7.1469999999995935,2.049000000000035,0.5543714658546939,5.097999999999558,0.7771857329273469,0.05441420118342336,0.31194042286304857,1870.5850942001125,8832.783558160241,26044.618991694857,301492.66851366597,17211.835433534616,-431.7039624382305,,,1062.5862653807708,True,12972.203957590827,True,47470.66213435809,True,102643.28266582805,True,low,trend_up
BTCUSDT,2026-07-25,1784939940000000,96.0,17.3109999999989,3.85699999999963,13.453999999999837,-0.554387383744469,-9.597000000000207,0.2228063081277655,0.1803229166666552,1.048666416226729,1062.5862653807708,8268.26120011491,25546.51337893546,366439.78779704403,17278.25217882055,-564.5223580453312,,,1383.5821341713017,True,18982.108708689135,True,48090.368984894536,True,104956.317521391,True,low,trend_up
BTCUSDT,2026-07-25,1784940000000000,125.0,4.7739999999976135,1.1059999999998809,3.6680000000000064,-0.5366568914956401,-2.5620000000001255,0.23167155425217992,0.03819199999998091,0.16023831525943502,1383.5821341713017,8235.039321155724,25535.434697642908,368817.5882699152,17300.395376487184,-33.22187895918614,,,2357.6089333241543,True,24106.43445707418,True,48488.689431651146,True,107269.22331975985,True,low,trend_up
BTCUSDT,2026-07-25,1784940060000000,213.0,13.407999999994217,0.4989999999996826,12.909000000000162,-0.9255668257757028,-12.41000000000048,0.03721658711214859,0.06294835680748459,0.3068777676881977,2357.6089333241543,8068.996703297336,26365.557980018923,328211.8234935349,18296.561276721586,-166.04261785838753,,,2191.5530471967504,True,27991.035363981806,True,48067.931114433726,True,109106.01447115354,True,low,trend_up
BTCUSDT,2026-07-25,1784940120000000,198.0,19.934999999995398,1.045999999999708,18.88900000000052,-0.8950589415601007,-17.843000000000814,0.05247052921994964,0.10068181818179493,0.4721566405019267,2191.5530471967504,8865.91547427309,27084.969049273626,352735.3726509173,18219.053575000537,796.9187709757534,,,5976.87357751785,True,30270.851592009567,True,62001.24138359394,True,112160.11896723488,True,low,trend_up
BTCUSDT,2026-07-25,1784940180000000,540.0,908.9729999999984,83.28799999999967,825.684999999999,-0.8167426315193085,-742.3969999999994,0.09162868424034575,1.6832833333333304,15.05175267401267,5976.87357751785,12972.203957590827,31800.006649930627,1275747.7604845848,18827.8026923398,4106.288483317738,,,7072.491016479078,True,26308.32393956634,True,57905.828093782315,True,108673.25662678234,True,low,trend_up
BTCUSDT,2026-07-25,1784940240000000,639.0,290.5410000000213,104.45599999999763,186.084999999993,-0.2809551836057493,-81.62899999999536,0.3595224081971254,0.4546807511737423,4.201657085566771,7072.491016479078,18982.108708689135,37090.427068852936,1652336.0050988921,18108.3183601638,6009.904751098307,,,6507.907882556348,True,21183.768287384533,True,52836.53891806124,True,110099.82748257054,True,low,trend_up
BTCUSDT,2026-07-25,1784940300000000,588.0,1058.9640000000186,69.47699999999907,989.4870000000017,-0.8687830747787478,-920.0100000000026,0.06560846261062606,1.800959183673501,22.36755178390848,6507.907882556348,24106.43445707418,41650.2354024567,1529298.7900849672,17543.80094538252,5124.325748385047,,,6242.209840231779,True,16026.126961570335,True,48608.51818408168,True,106723.73609508795,True,low,trend_up
BTCUSDT,2026-07-25,1784940360000000,564.0,1766.7570000000137,147.9179999999992,1618.8390000000045,-0.8325542222275062,-1470.9210000000053,0.08372288888624689,3.13254787234045,39.64437108364316,6242.209840231779,27991.035363981806,45756.19959546687,1263005.4820158836,17765.16423148506,3884.6009069076244,,,4471.3692752245115,True,11665.43015057534,True,49659.932776962814,True,103989.64220869678,True,low,trend_up
BTCUSDT,2026-07-25,1784940420000000,404.0,205.641000000016,51.44499999999698,154.196000000009,-0.49966203237685597,-102.75100000001203,0.25016898381157204,0.5090123762376634,3.7407918327349226,4471.3692752245115,30270.851592009567,48401.25458688113,631363.2655966802,18130.40299487156,2279.816228027761,,,2014.3459250746237,True,8721.405949845968,True,47844.95114040654,True,103789.98566196047,True,low,trend_up
BTCUSDT,2026-07-25,1784940480000000,182.0,55.59200000000783,2.5889999999992597,53.00300000000243,-0.9068571017412872,-50.41400000000317,0.0465714491293564,0.30545054945059247,2.0934273743278364,2014.3459250746237,26308.32393956634,48113.31145531741,1335816.7879670172,21804.98751575107,-3962.5276524432265,,,1947.935364297271,True,8190.134237200924,True,50988.5579387965,True,104320.91826445912,True,low,trend_up
BTCUSDT,2026-07-25,1784940540000000,176.0,43.50200000000768,12.146999999999707,31.35500000000593,-0.44154291756709424,-19.208000000006223,0.27922854121645285,0.2471704545454982,0.7302051644704117,1947.935364297271,21183.768287384533,48434.13819618858,1429011.5369547817,27250.369908804045,-5124.555652181807,,,1350.26655674215,True,7924.491988820868,True,50811.58569947956,True,105305.61348925994,True,low,trend_up
BTCUSDT,2026-07-25,1784940600000000,122.0,31.47300000001178,0.9869999999998527,30.48600000000897,-0.9372795729673322,-29.49900000000912,0.03136021351633387,0.25797540983616213,1.15871328225314,1350.26655674215,16026.126961570335,48367.60073980024,1347690.706867738,32341.473778229905,-5157.641325814198,,,1881.513029236783,True,8356.12801300663,True,52316.965134064914,True,106334.63627819343,True,low,trend_up
BTCUSDT,2026-07-25,1784940660000000,170.0,64.96500000000924,22.277999999999793,42.687000000007174,-0.3141537751097544,-20.40900000000738,0.3429231124451228,0.38214705882358374,1.5851577774591226,1881.513029236783,11665.43015057534,47725.46221785448,793923.8460761115,36060.03206727914,-4360.696810994996,,,1527.3450744951406,True,8411.465599876581,True,52671.214648907786,True,106478.27482501448,True,low,trend_up
BTCUSDT,2026-07-25,1784940720000000,138.0,21.350000000004002,7.281999999999698,14.06800000000112,-0.3178454332553238,-6.7860000000014224,0.3410772833723381,0.15471014492756524,0.5468931520481493,1527.3450744951406,8721.405949845968,47858.173016128625,187875.80955313036,39136.76706628266,-2944.024200729371,,,1483.0742124295793,True,23008.9838417384,True,52859.42308125942,True,107429.8065407185,True,low,trend_up
BTCUSDT,2026-07-25,1784940780000000,134.0,12.175000000010186,3.4889999999991232,8.686000000005151,-0.4268583162221112,-5.197000000006028,0.28657084188894444,0.0908582089552999,0.2890078999267794,1483.0742124295793,8190.134237200924,47470.66213435809,169894.72808765926,39280.52789715717,-531.2717126450443,,,1682.293115917215,True,23407.36991701505,True,55172.62053146996,True,106986.98833400788,True,low,trend_up
